"","x"
"burden",16
"declar",16
"sheikh",16
"wednesday",16
"succeed",16
"formal",16
"receiv",16
"kingdom",16
"away",16
"zambia",16
"congression",16
"worker",16
"substanti",16
"worldwid",16
"liber",16
"mexico",16
"applic",16
"kind",16
"peke",16
"remov",16
"richard",16
"contain",16
"lot",16
"mission",16
"pound",16
"wti",16
"rha",16
"fact",16
"egypt",16
"larger",16
"circul",16
"dutch",16
"left",16
"mulroney",16
"industrialis",16
"separ",16
"yasuhiro",16
"sudan",16
"fire",16
"zealand",16
"darman",16
"revers",15
"anyth",15
"differenti",15
"outlook",15
"alvit",15
"santo",15
"smaller",15
"asia",15
"deregul",15
"liberalis",15
"behind",15
"chevron",15
"africa",15
"save",15
"hong",15
"kong",15
"lose",15
"insur",15
"appli",15
"chipmak",15
"licenc",15
"thing",15
"amend",15
"extrem",15
"poland",15
"trigger",15
"plc",15
"resum",15
"smith",15
"break",15
"equiti",15
"done",15
"survey",15
"strain",15
"harm",15
"ecuadorean",15
"venezuelan",15
"degre",15
"swap",15
"technic",15
"gephardt",15
"evid",15
"netback",15
"clark",15
"repeat",14
"advantag",14
"togeth",14
"postpon",14
"million",14
"slight",14
"lack",14
"riyal",14
"unchang",14
"alloc",14
"instrument",14
"kwacha",14
"replac",14
"fourth",14
"took",14
"let",14
"readi",14
"respond",14
"indonesian",14
"subroto",14
"except",14
"ship",14
"former",14
"belgian",14
"forward",14
"parliament",14
"sought",14
"malaysia",14
"stage",14
"express",14
"sun",14
"conserv",14
"rest",14
"aircraft",14
"scale",14
"restructur",14
"calcul",14
"middl",14
"portfolio",14
"cutback",14
"arriv",14
"tuesday",14
"quit",14
"cancel",14
"borrow",14
"medium",14
"norsk",14
"chirac",14
"anti",13
"crisi",13
"home",13
"diamond",13
"spokeswoman",13
"abil",13
"brother",13
"optimist",13
"slide",13
"feb",13
"louisiana",13
"bodi",13
"advis",13
"assess",13
"steel",13
"outlin",13
"recov",13
"satisfi",13
"shown",13
"slump",13
"began",13
"sweden",13
"multilater",13
"either",13
"enter",13
"exampl",13
"doubt",13
"petroleo",13
"swiss",13
"actual",13
"exclud",13
"prefer",13
"quick",13
"subject",13
"conflict",13
"congressmen",13
"react",13
"doubl",13
"strike",13
"distil",13
"convinc",13
"gross",13
"exploratori",13
"southern",13
"consult",13
"insist",13
"robert",13
"novemb",13
"hear",13
"trip",13
"great",13
"under",13
"specul",13
"fitzwat",13
"danger",13
"iraqi",13
"via",13
"inventori",13
"mediterranean",13
"equival",13
"jungl",13
"nova",13
"risen",13
"principl",13
"rep",13
"investig",13
"swedish",13
"flat",13
"champlin",13
"compris",13
"dinar",13
"cite",12
"never",12
"prompt",12
"thought",12
"prove",12
"along",12
"suffer",12
"seri",12
"interbank",12
"weekend",12
"electr",12
"eventu",12
"season",12
"fresh",12
"ralli",12
"appreci",12
"cabinet",12
"complain",12
"sent",12
"structur",12
"tight",12
"item",12
"weaken",12
"arrang",12
"complex",12
"explain",12
"biggest",12
"ground",12
"permit",12
"tie",12
"philippin",12
"origin",12
"transfer",12
"occur",12
"pledg",12
"hurt",12
"claim",12
"team",12
"exempt",12
"tell",12
"write",12
"accus",12
"oblig",12
"latin",12
"abid",12
"howard",12
"settl",12
"quak",12
"balao",12
"paid",12
"moscow",12
"king",12
"comecon",12
"depress",12
"entir",12
"toughen",12
"alberta",12
"premier",12
"elsewher",12
"supplier",12
"deplet",12
"focus",12
"proceed",12
"relianc",12
"fill",12
"explos",12
"cabl",12
"eysken",12
"shamrock",11
"address",11
"david",11
"optim",11
"ali",11
"reaffirm",11
"perform",11
"relax",11
"suharto",11
"reluct",11
"water",11
"arabian",11
"stick",11
"fallen",11
"neutral",11
"storag",11
"xon",11
"list",11
"otherwis",11
"slash",11
"nymex",11
"lessen",11
"conduct",11
"turkey",11
"old",11
"argu",11
"certif",11
"grey",11
"goe",11
"overnight",11
"persuad",11
"deliveri",11
"brent",11
"margosh",11
"extens",11
"section",11
"appoint",11
"inject",11
"spur",11
"known",11
"michael",11
"singapor",11
"margin",11
"care",11
"naira",11
"resolut",11
"doesn",11
"settlement",11
"presidenti",11
"solut",11
"delay",11
"chancellor",11
"consensus",11
"tension",11
"jordan",11
"kept",11
"stronger",11
"asset",11
"tone",11
"opposit",11
"arm",11
"memori",11
"watch",11
"conclud",11
"monday",11
"outflow",11
"cours",11
"grisanti",11
"august",11
"land",11
"sound",11
"surg",11
"crown",11
"realign",11
"abu",11
"summit",11
"wattari",11
"denman",11
"debtor",11
"hydrocrack",11
"tamura",11
"thatcher",11
"mulford",11
"ldp",11
"reiter",10
"wish",10
"marathon",10
"distribut",10
"lowest",10
"crucial",10
"momentum",10
"welcom",10
"depth",10
"expans",10
"extent",10
"oman",10
"recess",10
"saw",10
"bidder",10
"georg",10
"defens",10
"summer",10
"ambassador",10
"court",10
"know",10
"flexibl",10
"maximum",10
"membership",10
"type",10
"pleas",10
"big",10
"cross",10
"malcolm",10
"individu",10
"brought",10
"troubl",10
"wine",10
"food",10
"happen",10
"commission",10
"revalu",10
"examin",10
"algeria",10
"channon",10
"volatil",10
"polish",10
"moment",10
"incom",10
"urgent",10
"interior",10
"liabil",10
"amoco",10
"basin",10
"concess",10
"combin",10
"partnership",10
"terra",10
"highest",10
"advanc",10
"nec",10
"fahd",10
"strength",10
"appeal",10
"afternoon",10
"temporari",10
"mandat",10
"wage",10
"wright",10
"fast",10
"provision",10
"gather",10
"meanwhil",10
"kill",10
"enforc",10
"fendt",10
"basket",10
"tender",10
"discoveri",10
"finland",10
"moor",10
"apea",10
"taxat",10
"est",10
"statoil",10
"countertrad",10
"environ",9
"engin",9
"elabor",9
"fernando",9
"peg",9
"coupl",9
"embassi",9
"regard",9
"uncertainti",9
"abdul",9
"reliev",9
"unveil",9
"negat",9
"pursu",9
"various",9
"hisham",9
"jump",9
"fight",9
"unilater",9
"bentsen",9
"singl",9
"faster",9
"select",9
"centuri",9
"hedg",9
"atlant",9
"mass",9
"peso",9
"pemex",9
"domin",9
"everi",9
"influenc",9
"status",9
"strict",9
"withdraw",9
"moder",9
"dan",9
"dubai",9
"properti",9
"generat",9
"peru",9
"sen",9
"grant",9
"spain",9
"vital",9
"chemic",9
"favor",9
"wait",9
"citgo",9
"levi",9
"compens",9
"realli",9
"recognis",9
"climb",9
"speaker",9
"william",9
"bullish",9
"mainten",9
"coal",9
"whose",9
"eighth",9
"answer",9
"meter",9
"imperi",9
"centr",9
"kiichi",9
"resort",9
"nomin",9
"parliamentari",9
"promis",9
"shutdown",9
"militari",9
"brazilian",9
"santana",9
"jakarta",9
"italian",9
"stood",9
"ever",9
"forese",9
"nic",9
"depreci",9
"understand",9
"evan",9
"heller",9
"potash",9
"gnp",9
"eep",9
"center",8
"telephon",8
"assign",8
"geneva",8
"network",8
"attract",8
"defenc",8
"pick",8
"circumst",8
"nigerian",8
"suspens",8
"termin",8
"african",8
"frustrat",8
"intent",8
"meant",8
"procedur",8
"taiwanes",8
"eastern",8
"unoc",8
"serv",8
"passag",8
"framework",8
"shelf",8
"phase",8
"enhanc",8
"tabl",8
"willing",8
"elimin",8
"club",8
"curtail",8
"plea",8
"peak",8
"barney",8
"cargo",8
"lehman",8
"wood",8
"drawn",8
"morgan",8
"went",8
"expens",8
"brief",8
"heat",8
"sustain",8
"exact",8
"finish",8
"car",8
"acknowledg",8
"argument",8
"describ",8
"deterior",8
"dri",8
"evalu",8
"qualiti",8
"anticip",8
"preliminari",8
"plaza",8
"instal",8
"river",8
"pattern",8
"caraca",8
"royal",8
"provinc",8
"altern",8
"avert",8
"unanim",8
"wildlif",8
"count",8
"lynch",8
"merril",8
"everyth",8
"built",8
"weight",8
"espinosa",8
"pend",8
"heavili",8
"search",8
"arturo",8
"willi",8
"patent",8
"reli",8
"comprehens",8
"identifi",8
"penalti",8
"version",8
"assur",8
"oilfield",8
"invit",8
"upward",8
"bureau",8
"plain",8
"spring",8
"raid",8
"endors",8
"mind",8
"relationship",8
"disclos",8
"calm",8
"downward",8
"signal",8
"widen",8
"labor",8
"friction",8
"outright",8
"nigel",8
"newli",8
"steep",8
"venic",8
"australia",8
"bass",8
"strait",8
"del",8
"hata",8
"strategi",8
"png",8
"saga",8
"wireless",8
"unch",8
"amid",7
"collaps",7
"plung",7
"soar",7
"widespread",7
"salomon",7
"decreas",7
"deliv",7
"self",7
"calendar",7
"virtual",7
"azzam",7
"decad",7
"metal",7
"arrear",7
"kaunda",7
"retain",7
"boycott",7
"reciproc",7
"tool",7
"cheap",7
"deadlin",7
"mar",7
"size",7
"sovereignti",7
"continent",7
"greec",7
"greek",7
"slack",7
"enabl",7
"load",7
"qualifi",7
"restrain",7
"croo",7
"veto",7
"stephen",7
"harri",7
"mix",7
"shearson",7
"upham",7
"royalti",7
"gallon",7
"concert",7
"swing",7
"track",7
"machineri",7
"ran",7
"aqazadeh",7
"secondari",7
"grain",7
"sight",7
"often",7
"papua",7
"airport",7
"sluggish",7
"bad",7
"creditor",7
"poor",7
"realiti",7
"spotlight",7
"yes",7
"libya",7
"someth",7
"plus",7
"marlin",7
"ministeri",7
"effici",7
"alli",7
"colombian",7
"ecopetrol",7
"ultim",7
"win",7
"discov",7
"usx",7
"alaska",7
"dibona",7
"guilder",7
"dram",7
"easier",7
"desir",7
"visnew",7
"pertamina",7
"alter",7
"gmt",7
"confirm",7
"indirect",7
"crack",7
"mutual",7
"advers",7
"rupe",7
"stake",7
"closur",7
"jim",7
"steadili",7
"noth",7
"indian",7
"turbul",7
"belgium",7
"ecu",7
"felt",7
"coffe",7
"ahm",7
"downturn",7
"journalist",7
"hydro",7
"integr",7
"claus",7
"assum",7
"warrant",7
"doe",7
"stanc",7
"bankruptci",7
"auto",7
"acceler",7
"johnson",7
"markka",7
"synthet",7
"read",7
"award",7
"punta",7
"melam",7
"regim",7
"jacqu",7
"mideast",6
"jan",6
"houston",6
"challeng",6
"khalifa",6
"equal",6
"primari",6
"steadi",6
"awar",6
"denomin",6
"lag",6
"sophist",6
"rilwanu",6
"abolish",6
"dismiss",6
"interim",6
"chv",6
"mob",6
"purpos",6
"admit",6
"emphas",6
"lay",6
"lloyd",6
"super",6
"understood",6
"sometim",6
"speed",6
"wang",6
"dismantl",6
"aegean",6
"turkish",6
"undersecretari",6
"cartel",6
"cruz",6
"materi",6
"fulfil",6
"gradual",6
"hungari",6
"instruct",6
"massiv",6
"nervous",6
"ban",6
"walli",6
"bigger",6
"conciliatori",6
"aggress",6
"civil",6
"simpli",6
"residu",6
"advoc",6
"stay",6
"switch",6
"user",6
"attribut",6
"prevail",6
"realis",6
"autumn",6
"heart",6
"justifi",6
"mitchel",6
"slip",6
"stripper",6
"diminish",6
"switzerland",6
"herring",6
"counterpart",6
"dip",6
"perman",6
"nugent",6
"airbus",6
"confront",6
"therefor",6
"fine",6
"mayb",6
"luxembourg",6
"boom",6
"guinea",6
"miner",6
"submit",6
"kansai",6
"convert",6
"expert",6
"unabl",6
"egyptian",6
"gabon",6
"lie",6
"coastal",6
"beyond",6
"rich",6
"overhaul",6
"norwegian",6
"sand",6
"heavier",6
"bridg",6
"eurodollar",6
"liff",6
"engag",6
"landslid",6
"lago",6
"formula",6
"border",6
"cubic",6
"graviti",6
"cordero",6
"febr",6
"ocean",6
"illinoi",6
"conoco",6
"battl",6
"leas",6
"modest",6
"javier",6
"schlumberg",6
"verifi",6
"ottawa",6
"controversi",6
"missouri",6
"ten",6
"fit",6
"wider",6
"black",6
"divis",6
"observ",6
"francais",6
"phillip",6
"life",6
"attitud",6
"gold",6
"room",6
"entiti",6
"moreov",6
"popular",6
"programm",6
"benefici",6
"policymak",6
"penal",6
"healthi",6
"bar",6
"begun",6
"contrast",6
"mention",6
"miller",6
"content",6
"dhabi",6
"oapec",6
"legal",6
"salvag",6
"defus",6
"byrd",6
"deduct",6
"discharg",6
"mechan",6
"tend",6
"barber",6
"worri",6
"grangemouth",6
"regular",6
"spread",6
"reopen",6
"oki",6
"ward",6
"edward",6
"cme",6
"carney",6
"stat",6
"licens",6
"operatorship",6
"margaret",6
"testimoni",6
"saba",6
"lebanes",6
"fec",6
"fso",6
"bangemann",6
"accompani",5
"dramat",5
"suffici",5
"regain",5
"hill",5
"independ",5
"sabah",5
"bit",5
"counter",5
"divid",5
"monopoli",5
"primarili",5
"zero",5
"aziz",5
"health",5
"grown",5
"introduct",5
"nevertheless",5
"fulli",5
"hemispher",5
"spa",5
"kenneth",5
"cif",5
"entitl",5
"restraint",5
"scheme",5
"throughput",5
"decre",5
"implic",5
"irrit",5
"varieti",5
"guard",5
"efp",5
"mercantil",5
"subsequ",5
"acid",5
"northwest",5
"rain",5
"deliber",5
"authoris",5
"automat",5
"broker",5
"exploit",5
"percentag",5
"dead",5
"saturday",5
"touch",5
"undervalu",5
"salina",5
"editori",5
"gsp",5
"labour",5
"mandatori",5
"obtain",5
"print",5
"shultz",5
"vast",5
"voluntari",5
"drastic",5
"messag",5
"compet",5
"persist",5
"repaid",5
"spark",5
"sponsor",5
"wheat",5
"wellemey",5
"peseta",5
"shrink",5
"acquir",5
"advisori",5
"fujitsu",5
"likelihood",5
"takeov",5
"across",5
"forum",5
"inland",5
"onshor",5
"bae",5
"breach",5
"monitor",5
"method",5
"blame",5
"southland",5
"concret",5
"document",5
"devis",5
"envoy",5
"correspond",5
"refrain",5
"collect",5
"demonstr",5
"michel",5
"yugoslavia",5
"dispos",5
"client",5
"injuri",5
"gilt",5
"destock",5
"peter",5
"accid",5
"lusinchi",5
"owe",5
"squeez",5
"procur",5
"wonnacott",5
"bob",5
"canterra",5
"graven",5
"portion",5
"shc",5
"afford",5
"combat",5
"floor",5
"windfal",5
"picken",5
"throughout",5
"consortium",5
"scrap",5
"realist",5
"partial",5
"most",5
"crash",5
"behalf",5
"garcia",5
"diversif",5
"hugh",5
"pure",5
"affili",5
"feet",5
"inch",5
"marin",5
"saskatchewan",5
"written",5
"copyright",5
"cautious",5
"fruit",5
"murakhovski",5
"sulphur",5
"task",5
"foundat",5
"caribbean",5
"brian",5
"got",5
"connect",5
"remitt",5
"front",5
"wind",5
"mill",5
"aspect",5
"judgement",5
"match",5
"weigh",5
"exercis",5
"esso",5
"envisag",5
"reinforc",5
"sceptic",5
"secret",5
"vulner",5
"troop",5
"disciplin",5
"refund",5
"sugar",5
"bear",5
"scope",5
"sens",5
"banco",5
"brasil",5
"bonn",5
"stimulus",5
"disturb",5
"definit",5
"sharehold",5
"mee",5
"haven",5
"deplor",5
"keen",5
"inter",5
"oklahoma",5
"sacrific",5
"notabl",5
"subsidis",5
"richfield",5
"raymond",5
"ceremoni",5
"chalabi",5
"bulk",5
"kuwaiti",5
"rotterdam",5
"neyra",5
"reneg",5
"roxi",5
"fifth",5
"berlin",5
"bloc",5
"recognit",5
"cds",5
"compli",5
"missil",5
"ineffici",5
"undermin",5
"braverman",5
"dawkin",5
"unwilling",5
"climat",5
"stori",5
"unemploy",5
"hajim",5
"guid",5
"somewhat",5
"rrt",5
"satoshi",5
"bitter",5
"concepcion",5
"ronald",5
"occident",5
"bukhoosh",5
"fesharaki",5
"acquisit",5
"weaker",5
"cool",5
"herstatt",5
"islam",5
"phlx",5
"yugoslav",5
"smart",5
"wolf",5
"matsunaga",5
"pariti",5
"horner",5
"poorest",5
"departur",5
"anniversari",4
"wors",4
"dia",4
"closer",4
"daniel",4
"princip",4
"spoke",4
"uncertain",4
"univers",4
"edmonton",4
"none",4
"swift",4
"firmer",4
"quiet",4
"sunday",4
"communic",4
"educ",4
"reveal",4
"social",4
"citizen",4
"diversifi",4
"hamper",4
"stem",4
"contact",4
"imposs",4
"bargain",4
"easili",4
"happi",4
"minut",4
"sub",4
"criticis",4
"deep",4
"unaccept",4
"embargo",4
"frank",4
"cultur",4
"weather",4
"hitachi",4
"preserv",4
"specifi",4
"spokesmen",4
"jaim",4
"monsod",4
"mexican",4
"seminar",4
"articl",4
"citi",4
"coincid",4
"communist",4
"northeast",4
"romania",4
"treatment",4
"enorm",4
"sizeabl",4
"upset",4
"freedom",4
"hike",4
"mckinley",4
"rumor",4
"sanford",4
"pancanadian",4
"bbls",4
"staff",4
"upon",4
"belief",4
"rebound",4
"concentr",4
"drive",4
"presenc",4
"soft",4
"fairchild",4
"giant",4
"blend",4
"bolster",4
"extract",4
"frequent",4
"cotton",4
"woong",4
"defer",4
"discriminatori",4
"algerian",4
"word",4
"everyon",4
"judg",4
"visibl",4
"bonni",4
"compat",4
"fellow",4
"hardship",4
"prior",4
"vienna",4
"honour",4
"twice",4
"farmer",4
"sweep",4
"wall",4
"air",4
"ngls",4
"qtr",4
"intensifi",4
"attach",4
"indefinit",4
"mercal",4
"tremor",4
"absorb",4
"assumpt",4
"pull",4
"recogn",4
"agrio",4
"blow",4
"hector",4
"ordin",4
"inflow",4
"unspecifi",4
"conclus",4
"southeast",4
"imo",4
"injur",4
"leon",4
"alaskan",4
"environment",4
"refug",4
"dupont",4
